n_users_eval,n_candidates,Recall@1,NDCG@1,MRR@1,Recall@5,NDCG@5,MRR@5,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20,Coverage@20,dataset,model,seed,best_epoch,train_seconds,test_seconds,inference_ms_per_user,trainable_parameters,checkpoint_mb,peak_cuda_memory_mb
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.011513157894736841,0.0063801573634091864,0.004714912280701754,0.03125,0.012564188808147247,0.007151341896407686,0.06907894736842106,0.02224377135265653,0.009865406764084865,1.0,baby,Static score-level,2022,11,11.100499370999842,0.11302939200004403,0.1859036052632303,82176,1.2814512252807617,48.55419921875
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.011513157894736841,0.0063801573634091864,0.004714912280701754,0.039473684210526314,0.015390630019266698,0.008411654135338346,0.0756578947368421,0.024265816894094693,0.01070202811198768,0.9916492693110647,baby,Multi-interest per-item,2022,11,10.518146199999592,0.12495765299991035,0.2055224555919578,82176,1.2815942764282227,64.4970703125
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.011513157894736841,0.006566254719931322,0.004934210526315789,0.03453947368421053,0.013968655900813805,0.007958698830409356,0.07236842105263158,0.023530798349918624,0.010578659396600267,0.9895615866388309,baby,Multi-interest clustered,2022,11,14.914922936000039,0.13497657299967614,0.22200094243367785,82176,1.2816228866577148,49.21435546875
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.018092105263157895,0.009626800142960417,0.0068804824561403514,0.03782894736842105,0.015911401410595397,0.009420034461152882,0.07236842105263158,0.024628574472447828,0.011800512403731098,0.9144050104384134,baby,Static score-level,2023,1,10.25187353399997,0.1085926739997376,0.17860637171009475,82176,1.2815122604370117,48.55419921875
608,479,0.003289473684210526,0.003289473684210526,0.003289473684210526,0.024671052631578948,0.013898463684501287,0.010416666666666666,0.03618421052631579,0.017559697192363805,0.011889750417710943,0.07072368421052631,0.02608744223059798,0.014123780140805458,0.9853862212943633,baby,Multi-interest per-item,2023,3,10.386249117000261,0.12712348199966073,0.20908467434154723,82176,1.2816553115844727,64.4970703125
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.02138157894736842,0.011946819586250502,0.008854166666666668,0.03453947368421053,0.016296119131400968,0.010701232247284878,0.0625,0.023407917204679368,0.0126778623759666,0.9853862212943633,baby,Multi-interest clustered,2023,3,14.388333091999812,0.13106548900032067,0.21556823848736953,82176,1.2816839218139648,49.21435546875
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.011513157894736841,0.006308078825845286,0.004632675438596491,0.03453947368421053,0.013541379184014666,0.0074894266917293235,0.06578947368421052,0.021413930688925824,0.009635115934445309,1.0,baby,Static score-level,2024,14,10.195720847999837,0.10774451099950966,0.1772113667755093,82176,1.2815122604370117,47.42919921875
608,479,0.004934210526315789,0.004934210526315789,0.004934210526315789,0.019736842105263157,0.013070194806048464,0.010827850877192981,0.04276315789473684,0.020731080485870027,0.014110797827903091,0.06578947368421052,0.02634685367518748,0.015542781576992612,0.9853862212943633,baby,Multi-interest per-item,2024,3,10.301626188000228,0.12607879500046693,0.20736643914550482,82176,1.2816553115844727,63.9111328125
608,479,0.004934210526315789,0.004934210526315789,0.004934210526315789,0.023026315789473683,0.014930276637580467,0.012198464912280702,0.044407894736842105,0.02193828485452322,0.01513875835421888,0.06743421052631579,0.027531405391782303,0.016553518614722682,0.9874739039665971,baby,Multi-interest clustered,2024,3,14.459538916999918,0.1289214689995788,0.2120418898019388,82176,1.2816839218139648,48.08935546875
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.018092105263157895,0.009111338978053307,0.0062499999999999995,0.03125,0.01309415540542226,0.007736789891395155,0.05098684210526316,0.018062028438115208,0.009086037532728708,0.9832985386221295,baby,Static score-level,2025,10,10.24100648500007,0.10952064100001735,0.18013263322371276,82176,1.2814512252807617,48.55419921875
608,479,0.003289473684210526,0.003289473684210526,0.003289473684210526,0.014802631578947368,0.008733243807608846,0.006770833333333333,0.03125,0.013956694759193474,0.008867220133667501,0.05921052631578947,0.020807831183776365,0.010633710314374217,0.9832985386221295,baby,Multi-interest per-item,2025,17,10.376967950999642,0.12510942399967462,0.20577207894683325,82176,1.2816553115844727,64.4970703125
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.01644736842105263,0.00906260761599382,0.006633771929824561,0.027960526315789474,0.012901283017133358,0.008285035505430242,0.046052631578947366,0.01728245702589267,0.009386867961013512,0.9832985386221295,baby,Multi-interest clustered,2025,17,14.296798407000097,0.13189260699982697,0.21692862993392592,82176,1.2816839218139648,49.21435546875
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.011513157894736841,0.00655356207144159,0.004934210526315789,0.018092105263157895,0.008687766709991138,0.0058153195488721806,0.05921052631578947,0.019003785229069738,0.008602903662837263,0.9958246346555324,baby,Static score-level,2026,10,10.09440409600029,0.10720074500022747,0.1763170148030057,82176,1.2814512252807617,48.55419921875
608,479,0.003289473684210526,0.003289473684210526,0.003289473684210526,0.02138157894736842,0.013213461257911303,0.010471491228070175,0.046052631578947366,0.020948110815144,0.013527307852965747,0.07894736842105263,0.029210128542455662,0.015763304293428947,0.9728601252609603,baby,Multi-interest per-item,2026,2,10.133374093999919,0.1239396390001275,0.20384809046073601,82176,1.2816553115844727,64.4970703125
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.023026315789473683,0.012913345082430933,0.009566885964912281,0.04111842105263158,0.018635820846799017,0.01185515873015873,0.0805921052631579,0.028608618689442353,0.014583975698488592,0.9728601252609603,baby,Multi-interest clustered,2026,2,14.033269530000325,0.12842899000042962,0.21123189144807503,82176,1.2816839218139648,49.21435546875
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.011513157894736841,0.005978715017460312,0.004221491228070175,0.03125,0.012292857531501378,0.006785844820384294,0.05921052631578947,0.019211691884626465,0.0086057823693018,0.9874739039665971,baby,Static score-level,2027,9,10.386687951000567,0.11054368399982195,0.18181526973654927,82176,1.2815122604370117,48.55419921875
608,479,0.004934210526315789,0.004934210526315789,0.004934210526315789,0.023026315789473683,0.013810720785787475,0.010800438596491227,0.04111842105263158,0.019643628064613016,0.013198360484544694,0.0756578947368421,0.02848321332730307,0.015683235923874165,0.9686847599164927,baby,Multi-interest per-item,2027,3,10.526916133999293,0.12801026499982981,0.210543199012878,82176,1.2816553115844727,64.4970703125
608,479,0.001644736842105263,0.001644736842105263,0.001644736842105263,0.014802631578947368,0.00831231773250509,0.006167763157894737,0.03453947368421053,0.014502257352192046,0.008606803467000835,0.07236842105263158,0.023666357376278407,0.010912880229754313,0.9958246346555324,baby,Multi-interest clustered,2027,9,14.615220450999914,0.1350141380007699,0.22206272697495047,82176,1.2816839218139648,49.21435546875
608,479,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.01644736842105263,0.011601791416715615,0.01000548245614035,0.029605263157894735,0.015714718913387576,0.011620196324143692,0.05921052631578947,0.02308693834331178,0.01358637750419922,0.964509394572025,baby,Static score-level,2028,2,10.446648389000075,0.10889915799998562,0.17911045723681845,82176,1.2814512252807617,48.55419921875
608,479,0.004934210526315789,0.004934210526315789,0.004934210526315789,0.01644736842105263,0.010779422995662985,0.008908991228070175,0.03289473684210526,0.015959300473999034,0.010968828320802005,0.06085526315789474,0.022936343097130142,0.012837162596944453,0.9791231732776617,baby,Multi-interest per-item,2028,4,10.489297234999867,0.12372836099984852,0.20350059374975085,82176,1.2816553115844727,64.4970703125
