dataset,seed,group,n_users,average_history_length,average_interest_diversity,model,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
sports,2022,1,127,1.0,,Multi-interest per-item,0.047244094488188976,0.03478593306104624,0.03083989501312336,0.07874015748031496,0.04255500904398283,0.03287898671756939
sports,2022,1,127,1.0,,FIR-MIC,0.07086614173228346,0.04300463320761894,0.03447069116360455,0.07874015748031496,0.04520103435447823,0.035186510777061954
sports,2022,2-3,1075,2.3451162790697673,0.7211966706829709,Multi-interest per-item,0.05674418604651163,0.029523480308835448,0.0213890734588409,0.08930232558139535,0.037499604348713945,0.023450487928564103
sports,2022,2-3,1075,2.3451162790697673,0.7211966706829709,FIR-MIC,0.05581395348837209,0.03075051479526563,0.023140273163528978,0.08558139534883721,0.03832341686496117,0.025246816299195878
sports,2022,4-5,293,4.348122866894198,0.7350548351431463,Multi-interest per-item,0.08191126279863481,0.03797658410965119,0.02526139010780649,0.10580204778156997,0.04426574520193931,0.027118037442269524
sports,2022,4-5,293,4.348122866894198,0.7350548351431463,FIR-MIC,0.05460750853242321,0.030108935886946124,0.02252966032829514,0.10238907849829351,0.04220819172902528,0.02585423204023887
sports,2022,>=6,198,7.792929292929293,0.733460181289249,Multi-interest per-item,0.06060606060606061,0.029211098412858363,0.019598765432098764,0.1111111111111111,0.0417172908094651,0.0228752139291355
sports,2022,>=6,198,7.792929292929293,0.733460181289249,FIR-MIC,0.07575757575757576,0.03756817668215418,0.02603615520282187,0.1414141414141414,0.05401997089210018,0.03047166695785234
sports,2023,1,127,1.0,,Multi-interest per-item,0.05511811023622047,0.033653706187881056,0.02690288713910761,0.11811023622047244,0.049766142540706014,0.03141841672868464
sports,2023,1,127,1.0,,FIR-MIC,0.06299212598425197,0.04042738136421818,0.03361767279090113,0.07086614173228346,0.042249257058389514,0.03403209467237648
sports,2023,2-3,1075,2.3451162790697673,0.7211966706829709,Multi-interest per-item,0.05674418604651163,0.03126981663408615,0.023663344407530453,0.09302325581395349,0.04038902470807415,0.026138480378670458
sports,2023,2-3,1075,2.3451162790697673,0.7211966706829709,FIR-MIC,0.0586046511627907,0.03200574865792247,0.02401144333702473,0.08651162790697674,0.03910892327368376,0.02598350720087346
sports,2023,4-5,293,4.348122866894198,0.7350548351431463,Multi-interest per-item,0.06484641638225255,0.03490120884187401,0.02591825125954818,0.09215017064846416,0.04179742233927213,0.02780724978273029
sports,2023,4-5,293,4.348122866894198,0.7350548351431463,FIR-MIC,0.05460750853242321,0.027598152803411213,0.01942006609242104,0.09897610921501707,0.039109482054497435,0.022739272131436034
sports,2023,>=6,198,7.792929292929293,0.733460181289249,Multi-interest per-item,0.06565656565656566,0.031830888493553554,0.021813371813371812,0.11616161616161616,0.04431638966620562,0.02509607085728204
sports,2023,>=6,198,7.792929292929293,0.733460181289249,FIR-MIC,0.0707070707070707,0.03846726813302215,0.028709716209716213,0.15151515151515152,0.05897800525685069,0.034389052665861
sports,2024,1,127,1.0,,Multi-interest per-item,0.03937007874015748,0.031981152060195674,0.02952755905511811,0.09448818897637795,0.04603832116532863,0.033450374272453204
sports,2024,1,127,1.0,,FIR-MIC,0.05511811023622047,0.03636660914151115,0.030664916885389328,0.06299212598425197,0.038434715716607164,0.03127061040446867
sports,2024,2-3,1075,2.3451162790697673,0.7211966706829709,Multi-interest per-item,0.06046511627906977,0.03235281582383531,0.023870431893687708,0.08837209302325581,0.03942197343467127,0.025814587940838928
sports,2024,2-3,1075,2.3451162790697673,0.7211966706829709,FIR-MIC,0.05674418604651163,0.0314740202938692,0.02389331856773717,0.09209302325581395,0.04038300251987721,0.026319187840103668
sports,2024,4-5,293,4.348122866894198,0.7350548351431463,Multi-interest per-item,0.05460750853242321,0.03219107156015056,0.025231594344222327,0.10238907849829351,0.04382321082596048,0.0281888340400159
sports,2024,4-5,293,4.348122866894198,0.7350548351431463,FIR-MIC,0.06484641638225255,0.03245826694437871,0.022818137493905412,0.09215017064846416,0.039323976028301226,0.024680839435855865
sports,2024,>=6,198,7.792929292929293,0.733460181289249,Multi-interest per-item,0.08585858585858586,0.03907706834569078,0.02531465448132115,0.10101010101010101,0.04275524418218065,0.026243586660253327
sports,2024,>=6,198,7.792929292929293,0.733460181289249,FIR-MIC,0.0707070707070707,0.03755288979101033,0.027244668911335576,0.13636363636363635,0.054191910683865245,0.031816155802341185
sports,2025,1,127,1.0,,Multi-interest per-item,0.05511811023622047,0.04020940308366789,0.0358267716535433,0.09448818897637795,0.050066665315119475,0.038482973719194194
sports,2025,1,127,1.0,,FIR-MIC,0.07086614173228346,0.04186680794591607,0.03322084739407574,0.07874015748031496,0.04388222546410359,0.0337832770903637
sports,2025,2-3,1075,2.3451162790697673,0.7211966706829709,Multi-interest per-item,0.05488372093023256,0.029027730857546154,0.021253968253968254,0.09023255813953489,0.038111610347250885,0.023826291943111005
sports,2025,2-3,1075,2.3451162790697673,0.7211966706829709,FIR-MIC,0.059534883720930236,0.03173691417798969,0.02339387227759321,0.09023255813953489,0.03930122367326081,0.025366987014153835
sports,2025,4-5,293,4.348122866894198,0.7350548351431463,Multi-interest per-item,0.05802047781569966,0.034744494588738746,0.02784820412806761,0.11262798634812286,0.048426486696620794,0.03153680719826812
sports,2025,4-5,293,4.348122866894198,0.7350548351431463,FIR-MIC,0.05802047781569966,0.027166475503018025,0.01774744027303754,0.09215017064846416,0.03549003507710107,0.019875718504455072
sports,2025,>=6,198,7.792929292929293,0.733460181289249,Multi-interest per-item,0.050505050505050504,0.028262195367916333,0.02139450056116723,0.09090909090909091,0.038572192566299755,0.02426651136544184
