dataset,seed,group,n_users,average_history_length,average_interest_diversity,model,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
sports,2022,High,522,3.157088122605364,0.8393191992201738,Multi-interest per-item,0.05363984674329502,0.023441191930044774,0.014546463540716415,0.08812260536398467,0.03179327213316964,0.016648730541252158
sports,2022,High,522,3.157088122605364,0.8393191992201738,FIR-MIC,0.044061302681992334,0.022921473462001248,0.016500182448458307,0.07662835249042145,0.031026490959436357,0.018655485888413544
sports,2022,Low,522,3.17816091954023,0.5924905502590639,Multi-interest per-item,0.06704980842911877,0.04075552845420525,0.03270692695980052,0.11302681992337164,0.052340208298125704,0.03586886757748115
sports,2022,Low,522,3.17816091954023,0.5924905502590639,FIR-MIC,0.08237547892720307,0.04625346288635949,0.035257404366599764,0.12643678160919541,0.05748965164163503,0.03839765550492037
sports,2022,Medium,522,3.8908045977011496,0.7442105638855262,Multi-interest per-item,0.06513409961685823,0.028999980692132846,0.018408289241622574,0.0842911877394636,0.033762997728301984,0.019674263666247936
sports,2022,Medium,522,3.8908045977011496,0.7442105638855262,FIR-MIC,0.04789272030651341,0.025302497756720287,0.018418932068357357,0.0842911877394636,0.03458850786458667,0.02101009149379314
sports,2022,Single-history,127,1.0,,Multi-interest per-item,0.047244094488188976,0.03478593306104624,0.03083989501312336,0.07874015748031496,0.04255500904398283,0.03287898671756939
sports,2022,Single-history,127,1.0,,FIR-MIC,0.07086614173228346,0.04300463320761894,0.03447069116360455,0.07874015748031496,0.04520103435447823,0.035186510777061954
sports,2023,High,522,3.157088122605364,0.8393191992201738,Multi-interest per-item,0.05363984674329502,0.025513882504696325,0.017117466399075593,0.0842911877394636,0.03325194258771928,0.0192365335589776
sports,2023,High,522,3.157088122605364,0.8393191992201738,FIR-MIC,0.04597701149425287,0.02362751788390944,0.01706957367876908,0.07854406130268199,0.031935336359272155,0.019391792525088495
sports,2023,Low,522,3.17816091954023,0.5924905502590639,Multi-interest per-item,0.06896551724137931,0.04363078283510084,0.035984917594113,0.11494252873563218,0.05509641284100862,0.03904867403452863
sports,2023,Low,522,3.17816091954023,0.5924905502590639,FIR-MIC,0.0842911877394636,0.04740503868795028,0.03621829958036855,0.13026819923371646,0.058831965885793466,0.03924814936811841
sports,2023,Medium,522,3.8908045977011496,0.7442105638855262,Multi-interest per-item,0.05555555555555555,0.02691591510854633,0.01845162075047133,0.08812260536398467,0.03509894621973026,0.020671521569621282
sports,2023,Medium,522,3.8908045977011496,0.7442105638855262,FIR-MIC,0.04789272030651341,0.02496161520784244,0.01795140789393663,0.08237547892720307,0.034096329559597655,0.020677892212713038
sports,2023,Single-history,127,1.0,,Multi-interest per-item,0.05511811023622047,0.033653706187881056,0.02690288713910761,0.11811023622047244,0.049766142540706014,0.03141841672868464
sports,2023,Single-history,127,1.0,,FIR-MIC,0.06299212598425197,0.04042738136421818,0.03361767279090113,0.07086614173228346,0.042249257058389514,0.03403209467237648
sports,2024,High,522,3.157088122605364,0.8393191992201738,Multi-interest per-item,0.05363984674329502,0.025481220173682737,0.016796661193212915,0.07471264367816093,0.03078751163233567,0.018238709178533385
sports,2024,High,522,3.157088122605364,0.8393191992201738,FIR-MIC,0.04980842911877394,0.025076476246735275,0.017817612357842242,0.07662835249042145,0.03185231085283694,0.01967089748218534
sports,2024,Low,522,3.17816091954023,0.5924905502590639,Multi-interest per-item,0.08045977011494253,0.04534685996427868,0.03490239007480387,0.11494252873563218,0.05392551595660344,0.03718024796567375
sports,2024,Low,522,3.17816091954023,0.5924905502590639,FIR-MIC,0.0842911877394636,0.0462257499729624,0.03461731435869367,0.13026819923371646,0.057693631770448534,0.03767485214208641
sports,2024,Medium,522,3.8908045977011496,0.7442105638855262,Multi-interest per-item,0.05363984674329502,0.028690158387314146,0.021224077114881713,0.08812260536398467,0.03728766314353177,0.023520201033679203
sports,2024,Medium,522,3.8908045977011496,0.7442105638855262,FIR-MIC,0.04597701149425287,0.02597807303170536,0.019912728820774796,0.08620689655172414,0.036246492243698386,0.022777261355959626
sports,2024,Single-history,127,1.0,,Multi-interest per-item,0.03937007874015748,0.031981152060195674,0.02952755905511811,0.09448818897637795,0.04603832116532863,0.033450374272453204
sports,2024,Single-history,127,1.0,,FIR-MIC,0.05511811023622047,0.03636660914151115,0.030664916885389328,0.06299212598425197,0.038434715716607164,0.03127061040446867
