dataset,seed,model,gap_quartile,gap_group,n_users,mean_gap,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
sports,2022,FIR-MIC,1,Q1-low,424,0.5020839626777847,0.23349056603773585,0.12801605900995258,0.095935347409404,0.36556603773584906,0.16150779335867418,0.1051848966748895
sports,2022,FIR-MIC,2,Q2,423,0.6561042476912199,0.002364066193853428,0.001182033096926714,0.0007880220646178092,0.01182033096926714,0.003597764827457207,0.0014640620463688772
sports,2022,FIR-MIC,3,Q3,423,0.7347282697193448,0.0,0.0,0.0,0.0,0.0,0.0
sports,2022,FIR-MIC,4,Q4-high,423,0.8174896071979834,0.0,0.0,0.0,0.0,0.0,0.0
sports,2022,Multi-interest clustered,1,Q1-low,424,0.5020839626777847,0.2099056603773585,0.11352413279703603,0.08471567085953878,0.3113207547169811,0.13859524298126416,0.09130260971398743
sports,2022,Multi-interest clustered,2,Q2,423,0.6561042476912199,0.018912529550827423,0.008397378089854805,0.005168111373785132,0.05200945626477541,0.016510987543247948,0.007267209170904579
sports,2022,Multi-interest clustered,3,Q3,423,0.7347282697193448,0.0,0.0,0.0,0.016548463356973995,0.003968451210106124,0.0009823157639507023
sports,2022,Multi-interest clustered,4,Q4-high,423,0.8174896071979834,0.0,0.0,0.0,0.004728132387706856,0.0011130445076436796,0.00026267402153926973
sports,2022,Multi-interest per-item,1,Q1-low,424,0.5020839626777847,0.2240566037735849,0.11787420664037958,0.08621125336927224,0.31839622641509435,0.141263662362332,0.09238912523138017
sports,2022,Multi-interest per-item,2,Q2,423,0.6561042476912199,0.018912529550827423,0.007299829421049151,0.0038735036961987314,0.0425531914893617,0.013246757110051334,0.005493867795703423
sports,2022,Multi-interest per-item,3,Q3,423,0.7347282697193448,0.0,0.0,0.0,0.0070921985815602835,0.0017240818351868365,0.00043963336236572514
sports,2022,Multi-interest per-item,4,Q4-high,423,0.8174896071979834,0.0,0.0,0.0,0.0070921985815602835,0.0016973759631940886,0.0004182578650663757
sports,2022,Static score-level,1,Q1-low,424,0.5020839626777847,0.1650943396226415,0.09012554818595125,0.06782719377059,0.2665094339622642,0.11554679970713387,0.0746846132105201
sports,2022,Static score-level,2,Q2,423,0.6561042476912199,0.026004728132387706,0.01201454199561898,0.007867086945101128,0.061465721040189124,0.020582023127700178,0.010008867158429111
sports,2022,Static score-level,3,Q3,423,0.7347282697193448,0.0070921985815602835,0.002648267325093968,0.0013227513227513227,0.014184397163120567,0.0043301530665706195,0.0017262670071553983
sports,2022,Static score-level,4,Q4-high,423,0.8174896071979834,0.0,0.0,0.0,0.009456264775413711,0.0023012783453307327,0.0005837323108912596
sports,2023,FIR-MIC,1,Q1-low,424,0.5020839626777847,0.2358490566037736,0.12950448530407288,0.0974374812818209,0.36792452830188677,0.16325650353967125,0.10689040579814355
sports,2023,FIR-MIC,2,Q2,423,0.6561042476912199,0.002364066193853428,0.0007880220646178092,0.0003377237419790611,0.01182033096926714,0.0031293473939221906,0.0009561545349152665
sports,2023,FIR-MIC,3,Q3,423,0.7347282697193448,0.0,0.0,0.0,0.0,0.0,0.0
sports,2023,FIR-MIC,4,Q4-high,423,0.8174896071979834,0.0,0.0,0.0,0.0,0.0,0.0
sports,2023,Multi-interest clustered,1,Q1-low,424,0.5020839626777847,0.2028301886792453,0.11506344334779423,0.08842842168313866,0.2971698113207547,0.1387036802458751,0.0948065498155128
sports,2023,Multi-interest clustered,2,Q2,423,0.6561042476912199,0.03309692671394799,0.01203870250624917,0.005811662726556343,0.0591016548463357,0.018618142641801,0.007619495751865161
sports,2023,Multi-interest clustered,3,Q3,423,0.7347282697193448,0.002364066193853428,0.0007457798505572784,0.0002955082742316785,0.018912529550827423,0.0048464715028024635,0.001378164886003632
sports,2023,Multi-interest clustered,4,Q4-high,423,0.8174896071979834,0.0,0.0,0.0,0.0070921985815602835,0.0017645996711967242,0.00047218113551029706
sports,2023,Multi-interest per-item,1,Q1-low,424,0.5020839626777847,0.20518867924528303,0.11730975795209436,0.09089360587002096,0.3089622641509434,0.14355868807769173,0.09810173422816904
sports,2023,Multi-interest per-item,2,Q2,423,0.6561042476912199,0.028368794326241134,0.010348170951641165,0.005006754474839581,0.0591016548463357,0.018002869421320965,0.007045232011472707
sports,2023,Multi-interest per-item,3,Q3,423,0.7347282697193448,0.002364066193853428,0.0007116548360850619,0.00026267402153926973,0.016548463356973995,0.004173458378708939,0.0011506913102657783
sports,2023,Multi-interest per-item,4,Q4-high,423,0.8174896071979834,0.0,0.0,0.0,0.004728132387706856,0.001206432999552929,0.0003393396450507313
sports,2023,Static score-level,1,Q1-low,424,0.5020839626777847,0.1721698113207547,0.10345815727855785,0.08224955076370172,0.27358490566037735,0.12882779787147375,0.08905982157887936
sports,2023,Static score-level,2,Q2,423,0.6561042476912199,0.037825059101654845,0.017062165225778494,0.010746181845472626,0.07328605200945626,0.02589045841147309,0.013093992604839497
sports,2023,Static score-level,3,Q3,423,0.7347282697193448,0.0070921985815602835,0.0025770563167420075,0.0012871027055424218,0.02364066193853428,0.006613879793686886,0.0023188920352040917
sports,2023,Static score-level,4,Q4-high,423,0.8174896071979834,0.0,0.0,0.0,0.004728132387706856,0.001157949093541682,0.0002966671302090576
