seed,gap_quartile,delta_Recall@10,gain_pct_Recall@10,delta_NDCG@10,gain_pct_NDCG@10,delta_MRR@10,gain_pct_MRR@10,delta_Recall@20,gain_pct_Recall@20,delta_NDCG@20,gain_pct_NDCG@20,delta_MRR@20,gain_pct_MRR@20
2022,1,0.009433962264150941,4.210526315789473,0.010141852369573004,8.60396235837634,0.009724094040131762,11.279379037073205,0.047169811320754707,14.814814814814813,0.020244130996342174,14.330742002438893,0.012795771443509338,13.849867515753063
2022,2,-0.016548463356973995,-87.5,-0.006117796324122437,-83.80738742307723,-0.0030854816315809223,-79.65609106321143,-0.030732860520094562,-72.22222222222223,-0.009648992282594127,-72.84041069397048,-0.004029805749334546,-73.35097783907591
2022,3,0.0,nan,0.0,nan,0.0,nan,-0.0070921985815602835,-100.0,-0.0017240818351868365,-100.0,-0.00043963336236572514,-100.00000000000001
2022,4,0.0,nan,0.0,nan,0.0,nan,-0.0070921985815602835,-100.0,-0.0016973759631940886,-100.0,-0.0004182578650663757,-100.0
2023,1,0.03066037735849056,14.94252873563218,0.012194727351978518,10.39532223479522,0.006543875411799946,7.199489281080754,0.058962264150943355,19.083969465648842,0.019697815461979518,13.721089072170516,0.00878867156997451,8.958732115309457
2023,2,-0.026004728132387706,-91.66666666666666,-0.009560148887023357,-92.38491451000978,-0.00466903073286052,-93.25463743676221,-0.04728132387706856,-79.99999999999999,-0.014873522027398774,-82.61750768343586,-0.00608907747655744,-86.42834567607952
2023,3,-0.002364066193853428,-100.0,-0.0007116548360850619,-100.0,-0.00026267402153926973,-100.0,-0.016548463356973995,-100.0,-0.004173458378708939,-100.0,-0.0011506913102657783,-100.0
2023,4,0.0,nan,0.0,nan,0.0,nan,-0.004728132387706856,-100.0,-0.001206432999552929,-100.0,-0.0003393396450507313,-100.0
2024,1,0.03066037735849056,14.94252873563218,0.013231411360956055,11.343787968502646,0.00808718927822702,9.002729678481389,0.07783018867924524,26.829268292682908,0.02549440250621693,18.513235330792934,0.01161888021800618,12.179361031842848
2024,2,-0.033096926713948,-93.33333333333334,-0.013961949862633667,-94.65746735990805,-0.00817948140643176,-96.03480559532987,-0.04728132387706856,-79.99999999999999,-0.017565699413727476,-84.6575197066702,-0.009184620277982595,-90.23624659002309
2024,3,-0.002364066193853428,-100.0,-0.0007457798505572784,-100.0,-0.0002955082742316785,-100.0,-0.016548463356973995,-100.0,-0.004404825680368292,-100.0,-0.001334333515184579,-100.00000000000001
2024,4,0.0,nan,0.0,nan,0.0,nan,-0.004728132387706856,-100.0,-0.001187853431691076,-100.0,-0.0003209139629665287,-100.0
2025,1,0.05424528301886791,28.749999999999993,0.019881189020558257,18.173829625214815,0.00949853998203054,11.114883364363148,0.07547169811320753,25.19685039370078,0.02428389677235357,17.612320228860366,0.0101986734536825,10.905023618805586
2025,2,-0.02364066193853428,-90.9090909090909,-0.01118544241368054,-93.74934240565906,-0.007462756576231754,-96.19105199516324,-0.04018912529550828,-77.27272727272728,-0.0152852622270866,-83.20885427924027,-0.00854237138655161,-90.36402950275331
2025,3,-0.002364066193853428,-100.0,-0.0007116548360850619,-100.0,-0.00026267402153926973,-100.0,-0.014184397163120567,-100.0,-0.0036549667671673877,-100.00000000000001,-0.0010465509474687613,-100.0
2025,4,-0.002364066193853428,-100.0,-0.0008420973690496978,-99.99999999999999,-0.0003940110323089046,-99.99999999999999,-0.01182033096926714,-100.0,-0.0032554465921120174,-100.0,-0.0010652369694922888,-100.0
2026,1,0.021226415094339618,9.999999999999998,0.0038218796540501893,3.0862712400674592,-0.001555480682839186,-1.599584223595324,0.042452830188679236,13.533834586466163,0.009161297885290437,6.139486988935523,-0.00010163833665864652,-0.09765686237514111
2026,2,-0.033096926713948,-93.33333333333334,-0.012501154655637258,-94.61390223986122,-0.006441142256745094,-96.08172404142177,-0.04964539007092199,-80.76923076923077,-0.016561147830645565,-84.2516046988012,-0.007496795363207323,-89.17484779321728
2026,3,-0.002364066193853428,-100.0,-0.0007116548360850619,-100.0,-0.00026267402153926973,-100.0,-0.009456264775413711,-100.0,-0.0025160475121258066,-99.99999999999999,-0.0007611412753256724,-100.0
2026,4,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
2027,1,0.04481132075471697,22.891566265060234,0.01950744636252473,17.24392949554228,0.011633348307876615,13.175328323246035,0.07547169811320753,25.396825396825392,0.027087786539978204,19.54539215109296,0.01362101041559903,14.308503279899195
2027,2,-0.028368794326241134,-92.3076923076923,-0.0140636438946075,-94.96415347828255,-0.009732072498029945,-97.05304518664046,-0.04491725768321513,-82.6086956521739,-0.018328985585100602,-88.19057873549669,-0.010948432313680541,-93.82844630986789
2027,3,-0.002364066193853428,-100.0,-0.0007457798505572784,-100.0,-0.0002955082742316785,-100.0,-0.018912529550827423,-100.0,-0.00492863978472766,-100.0,-0.0014412397613438389,-100.0
2027,4,-0.002364066193853428,-100.0,-0.0007116548360850619,-100.0,-0.00026267402153926973,-100.0,-0.009456264775413711,-100.0,-0.0024375637142998712,-100.0,-0.0006993695823483057,-100.0
2028,1,0.02594339622641509,13.41463414634146,0.005290515953503175,4.523708135590224,-0.0007103548966756329,-0.7573792084938036,0.042452830188679236,13.740458015267173,0.010077084343843412,6.90911967212948,0.0009403744455076246,0.9260632409267908
