dataset,seed,scope,measure,n_users,mean,median,std,ci95_low,ci95_high,pct_future_better
clothing,2022,Overall,past_target_cosine,2095,0.8669644346100618,0.881950318813324,0.07683409938401838,0.8636724243394605,0.8702564448806631,
clothing,2022,Overall,future_target_cosine,2095,0.7494051577225506,0.7849869728088379,0.08721873501567629,0.7456682105368303,0.7531421049082708,
clothing,2022,Overall,delta_future_minus_past,2095,-0.11755927688751129,-0.09638416767120361,0.11642381684090153,-0.12254753605701452,-0.11257101771800807,0.10787589498806682
clothing,2022,Q4-high,past_target_cosine,523,0.8121313636207216,0.8294263482093811,0.07652924063515314,0.8055573169906203,0.8187054102508229,
clothing,2022,Q4-high,future_target_cosine,523,0.7651303697726467,0.78701251745224,0.06667493680892576,0.7594028316446962,0.7708579079005972,
clothing,2022,Q4-high,delta_future_minus_past,523,-0.04700099384807492,-0.05538862943649292,0.07575704961566311,-0.05350870740434273,-0.04049328029180711,0.22562141491395793
clothing,2023,Overall,past_target_cosine,2095,0.8774513675375599,0.8828252553939819,0.05905395809100082,0.8749211597507336,0.8799815753243863,
clothing,2023,Overall,future_target_cosine,2095,0.8620474022157437,0.8694431781768799,0.04723937447154363,0.8600233984572061,0.8640714059742813,
clothing,2023,Overall,delta_future_minus_past,2095,-0.015403965321816237,-0.008878707885742188,0.07721392503287008,-0.018712249485742006,-0.012095681157890469,0.445346062052506
clothing,2023,Q4-high,past_target_cosine,523,0.8221545006303441,0.8273155689239502,0.05189296370698699,0.8176967696983167,0.8266122315623715,
clothing,2023,Q4-high,future_target_cosine,523,0.8753478305973469,0.8817528486251831,0.03667340625497745,0.8721974964139168,0.878498164780777,
clothing,2023,Q4-high,delta_future_minus_past,523,0.053193329967002795,0.053855061531066895,0.052964874058826224,0.04864351934650872,0.05774314058749687,0.875717017208413
clothing,2024,Overall,past_target_cosine,2095,0.9118331817283266,0.9167798161506653,0.041970171674085115,0.9100349406177042,0.913631422838949,
clothing,2024,Overall,future_target_cosine,2095,0.7993760995193426,0.8194770216941833,0.06853832294012681,0.7964395275433898,0.8023126714952955,
clothing,2024,Overall,delta_future_minus_past,2095,-0.11245708220898394,-0.09486228227615356,0.0901405382805955,-0.1163192160817859,-0.10859494833618198,0.0639618138424821
clothing,2024,Q4-high,past_target_cosine,523,0.8822841896153772,0.8881112337112427,0.04013196097485768,0.8788367572272276,0.8857316220035268,
clothing,2024,Q4-high,future_target_cosine,523,0.8046310284169637,0.8166184425354004,0.05482357096469596,0.7999215512424962,0.8093405055914311,
clothing,2024,Q4-high,delta_future_minus_past,523,-0.07765316119841362,-0.07452923059463501,0.0730836108317764,-0.08393121990534376,-0.07137510249148347,0.13001912045889102
