dataset,model,gap_quartile,gap_group,n_seeds,n_users,mean_gap,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd
clothing,FIR-MIC,1,Q1-low,1,524,0.3414624711029402,0.2824427480916031,0.0,0.18248544452740748,0.0,0.15131315885132676,0.0,0.38740458015267176,0.0,0.2090818996356968,0.0,0.15864420749850464,0.0
clothing,FIR-MIC,2,Q2,1,524,0.5057326028023967,0.003816793893129771,0.0,0.001340300923702806,0.0,0.0006202290076335878,0.0,0.013358778625954198,0.0,0.003708484799012325,0.0,0.0012452639599586164,0.0
clothing,FIR-MIC,3,Q3,1,524,0.5877950067511042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clothing,FIR-MIC,4,Q4-high,1,523,0.6828355200973342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clothing,Multi-interest clustered,1,Q1-low,1,524,0.3414624711029402,0.2824427480916031,0.0,0.1714159413842165,0.0,0.13726372228280623,0.0,0.3702290076335878,0.0,0.19348533383458005,0.0,0.14324724167754085,0.0
clothing,Multi-interest clustered,2,Q2,1,524,0.5057326028023967,0.007633587786259542,0.0,0.003400367275215125,0.0,0.0020856052344601964,0.0,0.04198473282442748,0.0,0.011876373928663125,0.0,0.004300536907980247,0.0
clothing,Multi-interest clustered,3,Q3,1,524,0.5877950067511042,0.003816793893129771,0.0,0.0012899191480008198,0.0,0.0005725190839694658,0.0,0.007633587786259542,0.0,0.0021820617343845687,0.0,0.0007801975752132915,0.0
clothing,Multi-interest clustered,4,Q4-high,1,523,0.6828355200973342,0.0,0.0,0.0,0.0,0.0,0.0,0.0019120458891013384,0.0,0.0004780114722753346,0.0,0.00012746972594008922,0.0
clothing,Multi-interest per-item,1,Q1-low,1,524,0.3414624711029402,0.2786259541984733,0.0,0.16696267920685665,0.0,0.13273733793771963,0.0,0.366412213740458,0.0,0.18891802126805068,0.0,0.13863727244108273,0.0
clothing,Multi-interest per-item,2,Q2,1,524,0.5057326028023967,0.009541984732824428,0.0,0.003952017707119491,0.0,0.002276444929116685,0.0,0.03816793893129771,0.0,0.01111327846255232,0.0,0.004203756431795096,0.0
clothing,Multi-interest per-item,3,Q3,1,524,0.5877950067511042,0.003816793893129771,0.0,0.0012899191480008198,0.0,0.0005725190839694658,0.0,0.007633587786259542,0.0,0.002189138002443359,0.0,0.0007852196724410938,0.0
clothing,Multi-interest per-item,4,Q4-high,1,523,0.6828355200973342,0.0,0.0,0.0,0.0,0.0,0.0,0.0019120458891013384,0.0,0.0005021979637422439,0.0,0.00014708045300779526,0.0
clothing,Static score-level,1,Q1-low,1,524,0.3414624711029402,0.23091603053435114,0.0,0.1375852097543259,0.0,0.10882330667636012,0.0,0.30916030534351147,0.0,0.15746171934939968,0.0,0.11432722487724792,0.0
clothing,Static score-level,2,Q2,1,524,0.5057326028023967,0.019083969465648856,0.0,0.008238504431141692,0.0,0.0051072337331879315,0.0,0.04007633587786259,0.0,0.013549371293410058,0.0,0.00656465721575735,0.0
clothing,Static score-level,3,Q3,1,524,0.5877950067511042,0.003816793893129771,0.0,0.0014180534243178698,0.0,0.0006997455470737914,0.0,0.013358778625954198,0.0,0.003783717117247108,0.0,0.0013285729939004347,0.0
clothing,Static score-level,4,Q4-high,1,523,0.6828355200973342,0.0019120458891013384,0.0,0.0012063666416280258,0.0,0.0009560229445506692,0.0,0.0057361376673040155,0.0,0.002229121843274193,0.0,0.0012664200044697177,0.0
