dataset,seed,scope,variant,n_users,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
clothing,2022,Overall,Past-only,2095,0.010023866348448688,0.004728337817840837,0.003099215819979543,0.01909307875894988,0.006983914425639662,0.003698547219110701
clothing,2022,Overall,Future-only,2095,0.002386634844868735,0.0009972300391443637,0.0005833996287456909,0.006205250596658711,0.00196911645690306,0.0008533703104108832
clothing,2022,Overall,Past+Future,2095,0.010023866348448688,0.004258210692962621,0.0025472591582376787,0.016706443914081145,0.005919516680830125,0.0029887719644031666
clothing,2022,Overall,FIR-MIC full,2095,0.07159904534606205,0.04597837260925145,0.038001477440618256,0.10023866348448687,0.053222988755984524,0.03999144775381134
clothing,2022,Q4-high,Past-only,523,0.0019120458891013384,0.0005527052128449099,0.00019120458891013384,0.0038240917782026767,0.0010112376537017578,0.0003036778765043302
clothing,2022,Q4-high,Future-only,523,0.0057361376673040155,0.0022126905980344234,0.0011684724877841514,0.019120458891013385,0.005670495180266765,0.0021543015089860213
clothing,2022,Q4-high,Past+Future,523,0.0019120458891013384,0.0012063666416280258,0.0009560229445506692,0.0019120458891013384,0.0012063666416280258,0.0009560229445506692
clothing,2022,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2023,Overall,Past-only,2095,0.029116945107398567,0.014295313532743163,0.009850930029927643,0.04677804295942721,0.018666735011361818,0.01100453807858287
clothing,2023,Overall,Future-only,2095,0.005250596658711217,0.0023954674955499688,0.001537864151229306,0.00954653937947494,0.0034957657761681233,0.0018465296514536557
clothing,2023,Overall,Past+Future,2095,0.025775656324582338,0.013398403303000706,0.009615676023790582,0.0486873508353222,0.01911498974243252,0.011144431089032344
clothing,2023,Overall,FIR-MIC full,2095,0.0720763723150358,0.04549704728018977,0.03737451225518051,0.09880668257756563,0.05225948982019491,0.03923478728354705
clothing,2023,Q4-high,Past-only,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2023,Q4-high,Future-only,523,0.021032504780114723,0.009595610713531901,0.006160278005402288,0.032504780114722756,0.012518992584770712,0.006973328964372539
clothing,2023,Q4-high,Past+Future,523,0.0,0.0,0.0,0.0019120458891013384,0.0005021979637422439,0.00014708045300779526
clothing,2023,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2024,Overall,Past-only,2095,0.007159904534606206,0.003155498215680637,0.00201935826040838,0.014319809069212411,0.005006450277201951,0.0025490397677604432
clothing,2024,Overall,Future-only,2095,0.0038186157517899762,0.0019703720238079254,0.00140735689661704,0.010978520286396181,0.0037868390404994594,0.0019097204344956254
clothing,2024,Overall,Past+Future,2095,0.007159904534606206,0.00297844466859984,0.0017645944614918363,0.012887828162291169,0.004452193032288868,0.002181880234666982
clothing,2024,Overall,FIR-MIC full,2095,0.0720763723150358,0.046553915944700056,0.03873546236314733,0.10071599045346062,0.05382197591461681,0.040744878569235546
clothing,2024,Q4-high,Past-only,523,0.0057361376673040155,0.002582545196869481,0.0016252390057361376,0.0076481835564053535,0.003115896909395542,0.0017990613592908048
clothing,2024,Q4-high,Future-only,523,0.01338432122370937,0.006936767475865399,0.0050001517496737384,0.028680688336520075,0.010857567594266506,0.0061091684120441764
