dataset,seed,model,gap_quartile,gap_group,n_users,mean_gap,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
baby,2022,FIR-MIC,1,Q1-low,152,0.5402294181679425,0.19078947368421054,0.1005006879825847,0.07296626984126983,0.28289473684210525,0.12346113703084081,0.07908551877688874
baby,2022,FIR-MIC,2,Q2,152,0.6593885737422266,0.0,0.0,0.0,0.013157894736842105,0.0030444501731547256,0.0006925207756232687
baby,2022,FIR-MIC,3,Q3,152,0.7170456257697783,0.0,0.0,0.0,0.006578947368421052,0.0015487428510963042,0.0003654970760233918
baby,2022,FIR-MIC,4,Q4-high,152,0.7960427623291156,0.0,0.0,0.0,0.0,0.0,0.0
baby,2022,Multi-interest clustered,1,Q1-low,152,0.5402294181679425,0.1118421052631579,0.04731521573704482,0.02828425229741019,0.17763157894736842,0.0639038567693288,0.03281523176346584
baby,2022,Multi-interest clustered,2,Q2,152,0.6593885737422266,0.013157894736842105,0.004173442953929701,0.001670843776106934,0.046052631578947366,0.012418300986203508,0.0038927044103127697
baby,2022,Multi-interest clustered,3,Q3,152,0.7170456257697783,0.0,0.0,0.0,0.03289473684210526,0.008476856475755933,0.0024072966507177034
baby,2022,Multi-interest clustered,4,Q4-high,152,0.7960427623291156,0.013157894736842105,0.0043859649122807015,0.0018796992481203006,0.03289473684210526,0.009324179168386239,0.0031994047619047614
baby,2022,Multi-interest per-item,1,Q1-low,152,0.5402294181679425,0.125,0.05086682376564921,0.0291797201336675,0.17763157894736842,0.06394554930299101,0.03265321022852186
baby,2022,Multi-interest per-item,2,Q2,152,0.6593885737422266,0.013157894736842105,0.0038822027761965076,0.001388888888888889,0.05263157894736842,0.013691781599621483,0.003983918128654971
baby,2022,Multi-interest per-item,3,Q3,152,0.7170456257697783,0.006578947368421052,0.002075426820958742,0.0008223684210526315,0.03289473684210526,0.008389139903992473,0.002373043515651875
baby,2022,Multi-interest per-item,4,Q4-high,152,0.7960427623291156,0.013157894736842105,0.004738066714262335,0.002255639097744361,0.039473684210526314,0.01103679676977381,0.0037979405751220156
baby,2022,Static score-level,1,Q1-low,152,0.5402294181679425,0.10526315789473684,0.04309942799018506,0.02513314536340852,0.16447368421052633,0.05831194305339077,0.02942749491220853
baby,2022,Static score-level,2,Q2,152,0.6593885737422266,0.006578947368421052,0.002833398408377586,0.001644736842105263,0.046052631578947366,0.013003364424258446,0.004530055105713001
baby,2022,Static score-level,3,Q3,152,0.7170456257697783,0.006578947368421052,0.002343468336236988,0.0010964912280701754,0.03289473684210526,0.00874351470015126,0.002724254521753299
baby,2022,Static score-level,4,Q4-high,152,0.7960427623291156,0.006578947368421052,0.00198046049778935,0.0007309941520467836,0.03289473684210526,0.008916263232825647,0.002779822516664622
baby,2023,FIR-MIC,1,Q1-low,152,0.5402294181679425,0.19078947368421054,0.10381561887437396,0.07771773182957394,0.3026315789473684,0.13142369015385502,0.08493178834499919
baby,2023,FIR-MIC,2,Q2,152,0.6593885737422266,0.0,0.0,0.0,0.006578947368421052,0.0014978305835325854,0.0003289473684210526
baby,2023,FIR-MIC,3,Q3,152,0.7170456257697783,0.0,0.0,0.0,0.006578947368421052,0.0016839343737487863,0.00046992481203007516
baby,2023,FIR-MIC,4,Q4-high,152,0.7960427623291156,0.0,0.0,0.0,0.0,0.0,0.0
baby,2023,Multi-interest clustered,1,Q1-low,152,0.5402294181679425,0.11842105263157894,0.05857259891226779,0.039946219715956556,0.16447368421052633,0.07059963719342797,0.043451492144359186
baby,2023,Multi-interest clustered,2,Q2,152,0.6593885737422266,0.019736842105263157,0.006611877613336081,0.0028587092731829577,0.06578947368421052,0.018089507043274316,0.005921739656157938
baby,2023,Multi-interest clustered,3,Q3,152,0.7170456257697783,0.0,0.0,0.0,0.019736842105263157,0.00494252458201519,0.0013382177033492825
baby,2023,Multi-interest clustered,4,Q4-high,152,0.7960427623291156,0.0,0.0,0.0,0.0,0.0,0.0
baby,2023,Multi-interest per-item,1,Q1-low,152,0.5402294181679425,0.11842105263157894,0.06080441878420756,0.043045112781954886,0.20394736842105263,0.08216358698868065,0.048772693526848654
baby,2023,Multi-interest per-item,2,Q2,152,0.6593885737422266,0.019736842105263157,0.007358943164288921,0.0036915204678362574,0.06578947368421052,0.018501212072501064,0.006488874404794236
baby,2023,Multi-interest per-item,3,Q3,152,0.7170456257697783,0.006578947368421052,0.002075426820958742,0.0008223684210526315,0.013157894736842105,0.0036849698612102287,0.0012335526315789473
baby,2023,Multi-interest per-item,4,Q4-high,152,0.7960427623291156,0.0,0.0,0.0,0.0,0.0,0.0
baby,2023,Static score-level,1,Q1-low,152,0.5402294181679425,0.125,0.05514289178710436,0.034153091060985796,0.23684210526315788,0.083499753510995,0.04196574785293825
baby,2023,Static score-level,2,Q2,152,0.6593885737422266,0.019736842105263157,0.006427287034318492,0.0027046783625731,0.046052631578947366,0.012939117557837568,0.004413933340933504
